ID,time,S,REP
101,0,934.222349872055,1
101,1,952.164083688567,1
101,2,792.907347023355,1
101,3,943.87021102587,1
101,4,772.547777625663,1
101,5,626.909447054433,1
101,6,663.740700396724,1
101,7,622.118089476891,1
101,8,556.580244086523,1
101,9,457.655256457594,1
101,10,498.309235589905,1
101,11,398.466592554055,1
101,12,315.545723215573,1
101,13,223.065877428759,1
101,14,300.055017563971,1
101,15,230.262769441732,1
101,16,200.944618848508,1
101,17,195.240911440941,1
101,18,166.06524212342,1
101,19,138.541892338714,1
101,20,123.456355884497,1
101,21,103.271372958032,1
101,22,78.6184550000073,1
101,23,42.2779369397849,1
101,24,61.0062058985266,1
101,0,905.823972604377,2
101,1,952.282751435371,2
101,2,1015.81014155242,2
101,3,710.245098914016,2
101,4,739.91826643653,2
101,5,697.176577087754,2
101,6,678.748968892148,2
101,7,560.903068853719,2
101,8,637.376647079313,2
101,9,466.379284520605,2
101,10,446.195509298267,2
101,11,424.015741750614,2
101,12,324.453482316489,2
101,13,264.279554725414,2
101,14,320.737436123511,2
101,15,166.464761535512,2
101,16,223.435427166932,2
101,17,174.892838232367,2
101,18,169.891032160591,2
101,19,135.665219448172,2
101,20,142.071964949215,2
101,21,75.0957522828064,2
101,22,97.9608659819729,2
101,23,87.7105258520108,2
101,24,54.578945947084,2
101,0,898.996991328412,3
101,1,905.304673792175,3
101,2,893.568041200959,3
101,3,708.380301411358,3
101,4,761.899142745102,3
101,5,689.633124797008,3
101,6,636.381102515074,3
101,7,645.795202957552,3
101,8,453.647667733267,3
101,9,540.012182709508,3
101,10,390.828543731228,3
101,11,332.811568677501,3
101,12,311.838415728448,3
101,13,309.607140985923,3
101,14,269.442391535024,3
101,15,222.866392318492,3
101,16,177.397324012808,3
101,17,159.563941961731,3
101,18,174.113711121437,3
101,19,131.528194737468,3
101,20,99.6680343675753,3
101,21,78.7579718619141,3
101,22,75.0655833152524,3
101,23,45.9972876103801,3
101,24,49.4634526465424,3
101,0,1022.75926060068,4
101,1,880.705638791553,4
101,2,951.730009682612,4
101,3,858.216854078579,4
101,4,876.554482511862,4
101,5,738.239730694276,4
101,6,543.370320381515,4
101,7,562.56506841771,4
101,8,632.333136374793,4
101,9,566.69169986011,4
101,10,453.290216379067,4
101,11,382.317935247904,4
101,12,354.689152823612,4
101,13,299.162309574808,4
101,14,265.739060227191,4
101,15,236.286348511998,4
101,16,230.634695410655,4
101,17,173.099874562275,4
101,18,147.664039097016,4
101,19,122.927582809318,4
101,20,133.334724708221,4
101,21,94.5009939167387,4
101,22,94.3604681791112,4
101,23,80.0340517761887,4
101,24,60.7247262591436,4
101,0,911.710174517439,5
101,1,1070.32557372684,5
101,2,754.289769953881,5
101,3,813.145540596528,5
101,4,882.592324381658,5
101,5,642.952606774368,5
101,6,598.433720363494,5
101,7,536.137643898981,5
101,8,507.165244225984,5
